lekid,x,y,area,per_miss,per_zero,mean_count,sd_count,min_count,max_count,len_road,mean_ppt,mean_sage,mean_herb,mean_nest
D-Calpet 8,-1166871.286,2253440.614, D,37.5,78.125,3.7,7.145848997,0,28,179043.5732,24.488889,10.529504,20.806058,0.185931
D-Cat,-1126467.154,2268783.352, D,37.5,62.5,10.15,12.99908904,0,39,144825.8806,25,13.686038,14.723857,0.370098
D-Chandler Brown,-1163232.049,2267803.539, D,25,31.25,20.29166667,12.38329578,0,45,263420.3153,25.445652,13.717487,15.659131,0.341166
D-Cora Butte,-1136509.577,2295499.137, D,25,43.75,28.45833333,22.43828089,0,68,215789.017,27.488889,13.978134,20.605314,0.256203
D-Cora Butte East,-1134381.784,2296217.024, D,53.125,81.25,3.666666667,5.715476066,0,18,207825.0296,27.711111,13.196667,21.721736,0.236148
D-Cora Butte Satellite,-1135683.71,2295447.991, D,50,84.375,2.0625,4.753507477,0,18,214713.8032,27.48421,14.067034,19.695772,0.255563
D-Cora Y,-1129364.232,2289989.604, D,46.875,90.625,2.411764706,6.235571581,0,24,161556.1599,26.860214,8.099119,28.386022,0.165129
D-Cottonwood Cutoff,-1162448.841,2283211.888, D,53.125,68.75,9.6,9.014274394,0,25,190888.911,30.395605,10.158281,34.508632,0.162261
D-Cut Across,-1155418.335,2292398.722, D,40.625,68.75,4.263157895,5.605970084,0,19,222919.1736,28.943181,15.031654,22.10791,0.402788
D-Cutoff,-1136946.7,2261089.462, D,25,34.375,21.33333333,12.12495331,0,40,157377.1999,21.021505,7.903469,20.774738,0.07002
D-Deer Hill,-1161135.948,2261371.546, D,25,34.375,12.125,8.300405962,0,28,305063.1572,23.293478,13.661376,16.451263,0.322677
D-Desert Reservoir,-1103461.042,2259247.266, D,50,50,132,48.53452379,61,234,151579.5485,25.386363,16.296796,14.531148,0.534872
D-Fear Ditch,-1142650.926,2286570.133, D,71.875,71.875,32.11111111,9.532109479,18,43,227064.6193,26.177778,15.038258,14.433003,0.434256
D-Fear Ditch Res.,-1143681.321,2285991.579, D,62.5,71.875,15.16666667,12.66227994,0,33,219907.0672,26.153846,15.04514,14.971597,0.46349
D-Forty Rod,-1133599.823,2310080.043, D,50,53.125,72.4375,34.66981156,0,127,169550.3934,29,18.131319,21.658971,0.427346
D-Fremont Butte Well 2A,-1105381.876,2266662.053, D,34.375,59.375,11.04761905,11.60808421,0,34,147643.3456,24.851064,16.008569,15.397951,0.457821
D-Fremont Butte Well 2B,-1106047.371,2267564.417, D,34.375,43.75,14.47619048,11.5048644,0,44,155754.518,24.734043,16.239048,14.959444,0.429057
D-Fremont Butte Well 2C,-1106409.037,2265910.253, D,34.375,84.375,2.142857143,7.016307535,0,32,142151.6377,24.989246,16.874364,13.646805,0.496277
D-Goodwin,-1097164.076,2262125.516, D,68.75,68.75,32.3,8.654478609,14,40,175784.4731,25.043478,13.250779,21.489765,0.285444
D-Grindstone Draw,-1135960.004,2286514.77, D,71.875,71.875,28.55555556,8.001735923,12,38,191793.8625,25.555555,11.293001,21.470466,0.186963
D-Hole 2,-1102312.883,2249835.715, D,56.25,78.125,7.285714286,9.084463249,0,25,125550.4223,25.076086,15.320726,14.838244,0.461733
D-Johnson Ridge,-1166161.68,2263379.487, D,25,50,7.166666667,6.824932977,0,22,266620.6548,25.75,11.291659,20.565923,0.253175
D-Kitchen Reservoir,-1134579.698,2300120.699, D,65.625,65.625,105.7272727,61.21125862,1,194,215885.202,28.706521,13.625196,24.411743,0.224761
D-Little Colorado Lek 1,-1145311.971,2226213.164, D,40.625,81.25,5.263157895,10.85173875,0,42,154743.5877,23.32258,13.245492,16.7541,0.321328
D-Little Fred Satellite,-1121535.579,2262515.884, D,50,90.625,0.875,1.892969449,0,5,179721.2773,21.703296,11.879575,15.04633,0.15666
D-Lower Muddy,-1146279.317,2274290.296, D,50,56.25,18,11.69045194,0,47,210589.3569,23.510639,13.046806,13.905904,0.35248
D-McDonald Draw,-1157992.687,2247949.873, D,25,71.875,9.083333333,19.5268303,0,77,171916.2448,21.78022,9.507922,14.554863,0.162074
D-Meadow Canyon,-1160643.982,2276868.671, D,25,28.125,54.08333333,35.2456185,0,120,186570.8554,29.086956,16.829399,15.936729,0.513251
D-Meadow Canyon 6B,-1160373.556,2276009.937, D,50,90.625,2.5625,6.324225908,0,22,185974.853,28.494623,15.923593,16.711156,0.453446
D-Meadow Canyon 7,-1162643.348,2276556.997, D,25,34.375,29.625,27.95619633,0,93,206619.303,29.363636,16.542848,17.737197,0.457698
D-Mesa Road 3,-1128362.715,2274408.919, D,28.125,31.25,49.91304348,33.53005849,0,125,171946.7612,26.826086,14.957884,14.921719,0.514271
D-Mesa/Pole Creek,-1117558.748,2277990.912, D,25,90.625,3.083333333,9.863929311,0,40,206028.4584,24.617021,13.455351,17.843418,0.332133
D-Mud Hole State,-1100734.889,2241903.566, D,56.25,56.25,131.1428571,67.84921874,41,264,183211.9349,23.043478,15.712364,16.768518,0.459121
D-Murdock Mesa,-1124123.763,2295464.576, D,46.875,65.625,9.176470588,8.457506238,0,28,167984.6273,27.681318,8.738121,33.894237,0.129524
D-North Antelope,-1156607.478,2282408.515, D,53.125,56.25,52.6,41.40876374,0,132,179647.4273,28.881719,15.88467,19.698711,0.469482
D-North Luman Ridge,-1135054.716,2281018.891, D,71.875,78.125,13.22222222,14.23707991,0,38,165795.2865,24.516483,10.620522,20.509874,0.142089
D-Onion Creek,-1146738.231,2291353.278, D,25,84.375,3.458333333,10.5870272,0,50,181830.7283,27.123596,12.99303,21.157396,0.435359
D-Prairie Dog,-1124847.195,2247827.341, D,56.25,71.875,15.85714286,15.98969448,0,41,162198.4485,23.548387,7.93875,14.382532,0.184118
D-Rifle Range,-1160068.758,2260201.457, D,65.625,65.625,28.45454545,16.50068869,3,54,287373.1343,22.615385,11.956413,19.510324,0.246636
D-Ryegrass Draw,-1149899.416,2295029.46, D,31.25,43.75,43.04545455,43.4658895,0,147,228309.3478,28.279569,16.15554,19.560949,0.541799
D-Ryegrass Draw South,-1151043.399,2294968.358, D,31.25,53.125,25.31818182,24.02258137,0,79,240168.2019,28.684782,17.702676,17.300815,0.594594
D-Ryegrass Reservoir,-1143715.837,2287158.892, D,25,75,3.333333333,7.081308321,0,29,214670.7621,26.404254,15.103058,14.876466,0.474324
D-Ryegrass Road Fork,-1145978.472,2289814.908, D,31.25,56.25,18.68181818,17.88424783,0,65,190312.1571,26.957895,13.630062,18.370981,0.455879
D-Sandy Flat Well,-1092196.684,2253728.921, D,37.5,53.125,57.45,43.17708335,0,160,170709.9071,25.053764,14.518855,18.072257,0.378822
D-Soda Lake,-1121186.13,2297121.502, D,50,50,57.125,14.69183447,32,80,174304.278,28.782608,14.347186,25.052463,0.240908
D-Sommers,-1136061.819,2283524.742, D,65.625,68.75,23.36363636,12.82398321,0,49,185957.5108,24.914894,11.321364,19.681018,0.168099
D-South Luman Ridge,-1134092.126,2276930.111, D,71.875,71.875,31.11111111,11.09554465,15,44,156546.0584,23.880434,10.705037,20.447343,0.186911
D-South Soapholes Creek,-1135780.978,2274367.961, D,71.875,81.25,7.777777778,8.120618477,0,21,164779.0212,22.877777,9.463889,22.54923,0.127394
D-Speedway,-1102897.116,2254252.719, D,37.5,37.5,66.35,37.17706565,5,151,142470.3541,25.44086,15.665752,14.060499,0.474111
D-Stock Driveway,-1115579.942,2289065.903, D,50,53.125,56.25,29.18789704,0,116,158636.0881,27.622222,11.168453,28.681928,0.177724
D-Termination Draw,-1158771.654,2247340.57, D,50,78.125,3.75,6.3822671,0,21,175589.6228,22.021978,9.117418,14.523177,0.152958
D-Two Buttes,-1118672.797,2275469.362, D,56.25,56.25,71.35714286,20.48491807,26,99,200611.5668,24.677419,13.802738,16.304197,0.36619
D-Upper Antelope,-1161162.623,2280090.994, D,68.75,84.375,3.1,4.677368681,0,14,200759.2551,30.217391,18.235666,17.412326,0.561603
D-Upper Muddy Creek Road,-1163052.139,2282544.131, D,50,81.25,1.75,2.645751311,0,8,202905.9197,30.505495,10.748707,33.032928,0.150737
D-Upper Onion Creek,-1149626.859,2292234.447, D,59.375,65.625,74.76923077,60.15002611,0,164,221366.1786,27.677419,15.499767,17.791433,0.518089
D-Waldo,-1135195.592,2296123.601, D,50,81.25,2.875,7.455423082,0,30,209039.8329,27.733333,14.065073,20.187238,0.248672
D-Warren Bridge 1,-1138757.122,2313231.031, D,50,75,6.5,9.688481133,0,30,180272.0554,29.065933,18.525951,22.899013,0.49394
D-Warren Bridge 2,-1138203.103,2319508.571, D,40.625,68.75,32.31578947,51.66457268,0,154,129036.8561,28.559139,19.763744,22.516193,0.658873
D-Waterhole Draw,-1101743.063,2247745.458, D,56.25,56.25,64.92857143,39.14364923,18,134,133930.4914,24.61111,15.496037,15.334554,0.47224
D-Webb Draw,-1145760.92,2305074.271, D,25,62.5,86.29166667,104.5302033,0,292,171327.7603,28.329669,13.022394,29.920089,0.316403
D-Willow Creek Road,-1127214.612,2306792.13, D,50,50,51.3125,12.56300787,32,77,113775.8241,28.527473,13.727996,26.944461,0.231679
E-Agate Flats,-940693.9421,2242937.919, E,59.375,59.375,32.61538462,10.92808661,12,49,191753.2935,19.451612,12.620884,11.507205,0.25309
E-Antelope Flats,-1023074.102,2218349.925, E,56.25,65.625,57.71428571,36.86864119,0,124,79692.14546,22.612903,13.362343,10.158717,0.445432
E-Antelope Springs,-1000528.05,2238167.019, E,15.625,50,10.18518519,12.34764704,0,50,146814.7479,20.554347,16.74587,17.223836,0.437938
E-Beulah Belle Lake,-907351.2333,2225861.739, E,0,59.375,8.71875,14.50524794,0,57,118340.8279,20.956989,5.850149,14.058639,0.035357
E-Bill's,-941797.1645,2216861.068, E,50,59.375,33.75,20.8118556,0,73,193394.9678,18.063829,8.094682,8.955533,0.052158
E-Black Rock,-954145.4496,2241486.52, E,18.75,84.375,4.769230769,10.93730384,0,39,105128.2835,18.957447,13.581487,12.757714,0.386984
E-Black Rock Draw,-952046.4025,2238265.14, E,0,21.875,23.84375,21.60661394,0,94,102240.9382,18.377777,9.515251,13.586043,0.201738
E-Blackjack,-933834.1225,2246109.973, E,71.875,71.875,159.4444444,101.102808,80,350,195387.2176,20.166666,14.245902,11.988223,0.36149
E-Buffalo Creek,-957942.7466,2233478.197, E,34.375,50,11.61904762,11.98947952,0,39,104486.6091,17.537633,6.732443,15.360298,0.047524
E-Carmody Lake,-996042.9851,2239932.494, E,18.75,18.75,56,25.50921402,27,124,143193.1086,21.362636,16.574258,16.180459,0.372309
E-Cedar Rim Pipeline No. 1,-983464.3131,2248273.871, E,0,96.875,0.09375,0.530330086,0,3,139119.9639,25.172042,17.254751,16.893379,0.618578
E-Cedar Rim Pipeline No. 2,-981576.8526,2245519.237, E,50,53.125,66.6875,46.38637551,0,176,137849.991,23.428571,15.277211,14.886566,0.54219
E-Cedar Rim Windmill,-989558.0046,2247944.871, E,6.25,53.125,7.366666667,10.59109363,0,32,138807.3083,24.838708,16.327074,16.575376,0.336975
E-Cottonwood Creek,-972671.5067,2226593.668, E,12.5,65.625,6.857142857,13.50915817,0,49,167279.1478,17.78409,5.777582,12.113741,0.054023
E-Coyote Lake,-999382.1945,2216825.454, E,0,18.75,37.03125,40.14046657,0,176,107264.2845,18.886363,10.467709,8.474249,0.279745
E-Crofts,-1001543.816,2215719.921, E,34.375,50,16.28571429,15.51496973,0,61,82158.56389,18.956521,10.194759,8.573802,0.265654
E-Dickie Springs,-1048778.83,2215397.623, E,71.875,71.875,34.77777778,37.60245264,1,88,118181.7595,24.18085,14.770753,9.584333,0.376314
E-Dickie Springs Creek,-1043937.698,2219140.011, E,0,21.875,62.875,73.69805442,0,305,123671.4474,23.695652,14.294739,11.135872,0.448517
E-Dishpan Butte,-993360.944,2246782.428, E,28.125,34.375,18.04347826,15.83287219,0,57,148261.4358,23.539325,15.167333,16.201072,0.266012
E-Dry Draw,-937228.1714,2218535.263, E,56.25,62.5,18.14285714,11.84422704,0,39,152676.0628,17.943181,7.614712,10.643712,0.037691
E-Dry Lakes,-952166.7276,2245649.721, E,0,9.375,26.96875,22.18032312,0,87,178371.8831,19.263736,15.237828,13.256307,0.408281
E-East Long Creek No. 1,-965157.4447,2246537.345, E,21.875,28.125,26.72,25.17028672,0,93,155964.4167,19.5,17.845815,17.886528,0.647629
E-East Long Creek No. 2,-968509.2424,2248225.018, E,21.875,28.125,44.12,28.27590258,0,120,164693.8744,19.252746,17.9288,19.191576,0.635163
E-East Long Creek No. 3,-971056.971,2244830.443, E,0,6.25,18.75,12.30001311,0,52,128540.0288,18.833333,15.116017,18.319433,0.401603
E-Fish Creek,-1046297.268,2225774.012, E,0,9.375,44.84375,45.08279793,0,165,173667.0322,23.911111,14.734327,12.34847,0.359016
E-Government Meadows,-989790.3745,2242173.212, E,0,59.375,12.71875,24.25434364,0,100,143552.4419,23.1,15.467462,14.825648,0.351254
E-Grassy Lake,-1006474.769,2205582.12, E,0,31.25,28.9375,36.70364094,0,148,142009.4499,20.24719,10.552264,9.056924,0.195235
E-Ice Slough,-980240.9603,2229094.116, E,0,68.75,3.4375,6.195406727,0,21,91605.6826,18,7.524785,12.045786,0.092496
E-Long Creek No. 1,-974956.2525,2252364.944, E,53.125,71.875,13.13333333,16.94894294,0,53,127592.1796,20.619565,17.210489,18.876523,0.582804
E-Long Creek No. 2,-976474.4393,2250391.797, E,34.375,87.5,1.142857143,3.021352583,0,12,113032.5997,21.233333,16.709934,19.158172,0.583588
E-Long Creek No. 3,-978350.0844,2247223.459, E,0,65.625,3.15625,6.022052886,0,26,125466.4698,21.866666,15.506556,16.859857,0.524295
E-Long Creek No. 4,-980810.6546,2247259.027, E,0,93.75,1.65625,7.748504018,0,43,129082.4915,23.833333,16.228008,16.471099,0.586901
E-Long Gulch,-1035828.282,2226429.518, E,65.625,68.75,66,46.75681768,0,162,125104.587,23.693181,14.103749,8.537477,0.397422
E-McIntosh Meadows,-939759.1712,2240579.801, E,0,56.25,4.25,9.356729509,0,41,141330.507,19.827957,10.748329,11.37962,0.169685
E-Nancy Creek,-971671.368,2222967.054, E,59.375,62.5,34.46153846,23.89775228,0,67,213438.7552,18.033332,6.827124,9.576604,0.078398
E-Nancy Creek Reservoir,-970608.0969,2224880.888, E,68.75,68.75,37.5,20.12323146,13,73,176565.9506,17.709676,5.774834,11.03786,0.057953
E-North Dobie,-929373.6904,2233620.05, E,0,31.25,20.15625,19.38258176,0,70,104382.112,21,7.275785,11.671863,0.062619
E-Oregon Trail,-1035149.904,2219405.702, E,21.875,40.625,44.28,48.7292862,0,173,95307.83543,23.32258,12.410365,11.939058,0.350242
E-Picket Lake,-1017135.308,2211713.696, E,28.125,28.125,58.39130435,35.90864562,7,132,53305.61816,21.636363,11.240938,10.420585,0.298115
E-Pine Creek,-1042732.037,2227265.281, E,31.25,34.375,30.77272727,19.44450423,0,71,120695.0003,24.177778,15.168925,10.141089,0.420615
E-Radio Tower Draw No. 1,-966824.8239,2235962.312, E,0,68.75,12.71875,24.53336684,0,94,140173.6621,18.010869,10.136853,16.775953,0.131128
E-Radio Tower Draw No. 2,-966448.2231,2237524.049, E,53.125,56.25,39.6,29.37637535,0,118,142132.2036,18.065217,11.048202,16.952299,0.177444
E-Radium Springs,-1018462.063,2227377.769, E,0,62.5,11.1875,17.52314138,0,47,112423.1985,21.119565,14.422589,8.061276,0.387337
E-Rawlins Draw,-940346.0337,2210958.127, E,0,25,19.65625,18.60213199,0,75,175727.4067,18.771739,8.819735,5.986345,0.093263
E-Sage Hen No. 1,-942109.7293,2234803.712, E,0,68.75,7.40625,13.61180554,0,41,150537.0975,19.222221,6.092622,11.967114,0.055475
E-Sage Hen No. 2,-941905.3379,2233966.755, E,0,62.5,2,3.528684302,0,15,145360.1418,19.271739,5.739137,12.024282,0.048461
E-Sage Hen No. 3,-940860.8745,2235275.702, E,53.125,56.25,29.46666667,13.81441621,0,51,141445.1019,19.44086,6.458014,11.759702,0.059285
E-Sage Hen No. 4,-940926.3349,2235746.388, E,59.375,87.5,4.461538462,14.6037403,0,53,141188.1383,19.439559,6.745789,11.848123,0.066089
E-Silver Creek,-1010678.7,2231870.484, E,37.5,53.125,20.6,22.31685698,0,86,111854.6108,19.698925,15.212721,12.100717,0.388298
E-Soap Holes,-981397.8288,2226255.606, E,0,12.5,74.09375,57.06666129,0,234,76315.90396,18.215053,7.937635,10.215126,0.129526
E-Spring Creek,-948530.027,2216081.321, E,59.375,68.75,37.15384615,28.77164737,0,94,208122.5414,18.454545,8.522691,7.627365,0.099413
E-Warm Springs No. 1,-991880.0866,2229099.768, E,40.625,40.625,38.10526316,22.65660251,3,80,114220.3874,18.815217,10.498402,10.641289,0.246729
E-Warm Springs No. 2,-990192.14,2230414.434, E,0,87.5,1.03125,3.237724958,0,15,113910.835,18.797872,9.728785,11.631307,0.181987
E-West Long Creek No. 1,-980802.8364,2257764.591, E,0,12.5,47.625,59.6747907,0,242,132814.4787,23.802198,17.103784,18.220209,0.498709
E-West Long Creek No. 2,-980952.7782,2254120.545, E,0,15.625,46.5,49.96644035,0,177,122034.34,24.48913,19.055864,19.626098,0.694634
E-Willow Creek State Section,-1030862.614,2224694.605, E,0,12.5,27.4375,29.81224851,0,106,144130.933,23.120878,13.973202,9.852372,0.400877
E-Wilson Gulch,-1023468.885,2224674.955, E,0,31.25,16.875,18.18852882,0,78,120839.6848,22.505495,15.807513,8.110059,0.532914
F-1873044,-791886.3875,2101445.043, F,15.625,81.25,22.22222222,50.20521987,0,160,158025.4493,34.7957,9.66464,13.221941,0.157827
F-1873103,-791355.5551,2099633.213, F,0,37.5,58.53125,59.69059167,0,250,159882.6055,34.978721,9.633033,12.794861,0.170534
F-1874064,-803885.8101,2102463.692, F,0,96.875,0.34375,1.944543648,0,11,180348.7498,33.074466,9.442498,19.920946,0.121089
F-1874081,-803929.5291,2102042.563, F,53.125,78.125,5.133333333,7.298401652,0,21,179136.035,33.065933,9.428563,20.241912,0.124457
F-1973224,-790075.977,2105830.572, F,0,100,0,0,0,0,208539.8816,34.892471,9.924094,17.786878,0.112268
F-1973294,-793343.1941,2105024.812, F,0,96.875,0.03125,0.176776695,0,1,205638.6474,34.288887,9.637287,15.230885,0.122788
F-1974041,-801063.0127,2113041.151, F,0,100,0,0,0,0,109757.316,33,10.021339,21.82711,0.178342
F-1974042,-800488.853,2112784.649, F,3.125,87.5,8.387096774,23.38472068,0,84,107072.0251,33,10.119998,21.694803,0.19189
F-1974122,-795962.1071,2110789.299, F,56.25,59.375,20.92857143,11.38463395,0,42,154384.9504,33.582416,10.113846,18.609477,0.211813
F-1976241,-816152.8217,2109498.77, F,0,90.625,1.65625,6.276476179,0,30,128779.5404,31.279569,9.554613,18.701263,0.253174
F-1976343,-819001.9095,2105716.618, F,0,93.75,0.4375,1.882645702,0,10,131844.2694,30.261363,8.403299,18.09592,0
F-2073062,-793290.9505,2121420.393, F,0,93.75,0.40625,1.720078299,0,9,157609.931,34.787235,10.55233,22.267868,0.212501
F-2073091,-790488.6841,2120032.738, F,56.25,62.5,10.14285714,5.802614038,0,21,178345.0684,35.01099,10.682952,22.457929,0.208237
F-2073283,-791331.5277,2114878.407, F,0,31.25,35.6875,33.27736565,0,99,174884.4289,34.336956,10.599151,20.205917,0.195781
F-2073331,-791453.2512,2113452.313, F,15.625,87.5,6.222222222,15.46294164,0,54,194688.9604,34.24731,10.506244,19.374237,0.187318
F-2074333,-800996.7444,2113743.569, F,9.375,90.625,0.965517241,3.041178797,0,13,108744.4062,33.042552,10.051292,21.853435,0.17867
F-2074334,-800502.4947,2113697.061, F,12.5,87.5,10.42857143,26.62139013,0,97,107562.6129,33.053764,10.071182,21.959846,0.189397
F-2078092,-837700.0141,2124899.661, F,0,59.375,4.8125,7.008922884,0,21,134130.1095,26.89011,9.398258,12.765775,0.132189
F-2079274,-845809.7159,2119189.76, F,3.125,81.25,6.096774194,13.06740178,0,44,173194.5425,27.946807,10.401264,16.744867,0.120052
F-2173203,-792367.9639,2125777.268, F,43.75,96.875,1.888888889,8.013876853,0,34,155677.0769,35.106384,10.904438,21.724113,0.280836
F-2173291,-792492.4726,2125050.062, F,56.25,65.625,15.64285714,10.5583153,0,33,156121.0921,35.075267,10.857926,21.765527,0.27083
F-2174252,-795033.1771,2125269.082, F,0,53.125,12.28125,17.03551201,0,53,162974.3225,34.702129,10.79841,22.495203,0.277317
F-2177041,-828696.8511,2135170.227, F,0,100,0,0,0,0,130074.8331,29.053192,8.511209,10.158505,0.121661
F-2177104,-826815.51,2132180.548, F,0,50,5.125,6.343653165,0,17,161192.5077,29.265956,9.110873,12.077715,0.143878
F-2177203,-831026.1798,2129518.188, F,0,96.875,0.03125,0.176776695,0,1,148860.9094,27.75,9.187168,11.200262,0.19211
F-2177314,-833164.4845,2126874.217, F,0,56.25,6.53125,9.270084995,0,29,152199.2796,27.166666,9.266855,12.505069,0.153857
F-2179012,-842353.1579,2136345.801, F,0,100,0,0,0,0,204702.1285,25.391304,8.092731,8.088852,0.09351
F-2179013,-843092.2866,2135908.822, F,0,100,0,0,0,0,201737.7087,25.44086,8.209722,8.026702,0.100019
F-2179193,-851967.3676,2131950.198, F,0,84.375,2.59375,7.246175298,0,32,203939.482,25.404254,9.580982,10.224318,0.178803
F-2179292,-849595.0391,2130342.428, F,0,100,0,0,0,0,202559.8356,25.377777,8.881202,9.858879,0.129501
F-2181061,-869979.4383,2139526.792, F,0,84.375,0.90625,3.009226404,0,16,264384.3694,25.044445,9.353523,8.47579,0.101868
F-2181112,-863237.215,2136977.135, F,0,84.375,2.25,6.748954519,0,35,246787.6307,25.69149,11.052845,11.186238,0.147953
F-2181113,-863877.3295,2136530.739, F,9.375,90.625,0.655172414,2.142692933,0,10,247428.9367,25.6,11.118282,11.202938,0.144954
F-2181141,-864357.2589,2135664.659, F,15.625,90.625,0.666666667,1.941450687,0,7,247136.4428,25.538461,11.247668,11.186604,0.135644
F-2181143,-863975.5988,2134414.81, F,12.5,81.25,2.25,7.825054727,0,41,257540.0366,25.526882,11.501746,11.445094,0.115714
F-2181181,-870622.6336,2136945.556, F,0,84.375,4.53125,14.17399794,0,65,254386.3867,25.075269,10.072403,8.822455,0.149758
F-2182063,-879968.8372,2139341.468, F,0,90.625,0.3125,1.176037634,0,6,241850.3778,25.010869,8.308732,7.001303,0.074274
F-2182163,-877198.5381,2135937.429, F,0,71.875,5.09375,12.1239815,0,49,250821.6008,25.247312,9.365903,7.980971,0.096987
F-2182202,-878045.6322,2135408.946, F,3.125,75,2.064516129,5.278481372,0,25,236230.1797,25.431818,9.437375,8.201786,0.095976
F-2182214,-876243.1616,2134401.694, F,50,68.75,29.375,30.09955703,0,89,256710.1816,25.433332,9.877393,8.661552,0.106593
F-2182281,-877040.3993,2133392.985, F,0,81.25,2.53125,7.602989119,0,38,246824.6165,25.7,10.103421,9.132082,0.101474
F-2183011,-881032.8515,2140644.263, F,6.25,68.75,5.166666667,8.626676082,0,29,249976.6077,24.75,8.059,6.895394,0.071381
F-2183024,-882381.9319,2139545.106, F,0,71.875,5.0625,10.07692189,0,39,246704.316,25.175825,8.272492,7.294647,0.059642
F-2183232,-882593.0554,2135830.975, F,15.625,87.5,1.185185185,3.823379868,0,17,221046.8949,25.891304,8.8142,7.925542,0.057916
F-2185011,-900517.4319,2142307.227, F,0,71.875,2.53125,6.603930281,0,35,145781.5761,21.052631,6.61262,6.668763,0.033193
F-2274063,-802464.4617,2141504.372, F,0,100,0,0,0,0,172736.3032,33.163043,10.515473,20.161787,0.260293
F-2274173,-800798.9687,2138018.16, F,0,100,0,0,0,0,166565.323,33.521278,10.115222,20.595407,0.254175
F-2277333,-828748.5866,2135681.091, F,0,100,0,0,0,0,128347.2515,29.11111,8.35207,10.223447,0.111698
F-2279213,-847504.2108,2140975.619, F,0,93.75,0.46875,1.95075461,0,10,211794.6494,25.808509,9.011119,8.145293,0.157766
F-2280262,-853011.8491,2140770.719, F,0,75,2.34375,5.171942762,0,18,246412.309,25.989246,9.702821,8.671719,0.204255
F-2281293,-868618.7646,2141312.732, F,0,96.875,0.25,1.414213562,0,8,304454.5779,25.074468,8.85291,8.55598,0.070562
F-2281314,-869591.3168,2140360.921, F,0,53.125,11.25,16.54709798,0,57,286197.1657,25.054347,9.08797,8.516414,0.084859
F-2282061,-878581.9631,2150362.508, F,0,53.125,6.46875,8.962230335,0,25,241676.5809,23.833333,7.882203,6.002844,0.143713
F-2283321,-887665.1021,2143262.503, F,46.875,68.75,13.41176471,13.23848001,0,37,167133.9397,24.03409,7.749745,6.675398,0.066799
F-2283324,-886692.5572,2142089.789, F,0,100,0,0,0,0,199340.1317,24.271739,7.825075,6.788985,0.066852
F-2283344,-883439.4518,2141687.038, F,18.75,100,0,0,0,0,250093.7458,24.539325,7.857485,6.900235,0.070796
F-2377014,-821227.176,2153090.652, F,0,100,0,0,0,0,168620.4724,31.265956,7.255693,8.490716,0.125526
F-2377091,-826738.0521,2153100.615, F,0,96.875,0.03125,0.176776695,0,1,175732.3193,30.311828,7.189561,9.224625,0.101066
F-2377151,-825696.2428,2151181.806, F,0,71.875,3.625,6.996542925,0,26,181066.0511,30.903224,6.882093,9.474005,0.090229
F-2377152,-824891.0596,2150195.765, F,0,96.875,0.09375,0.530330086,0,3,183621.3599,31.260869,6.800678,9.72527,0.091558
F-2377163,-826958.282,2150490.424, F,12.5,93.75,0.678571429,2.667410611,0,13,184207.149,30.626373,6.709497,9.524621,0.081326
F-2382214,-874152.2625,2153573.338, F,12.5,100,0,0,0,0,157235.7421,24.053192,8.621296,6.283594,0.153161
F-2382221,-872977.4232,2154010.591, F,0,53.125,18.9375,26.43059993,0,94,156061.4271,24.107526,8.693187,6.408075,0.147176
F-2382283,-874867.1577,2151727.596, F,0,65.625,6.625,10.74559174,0,32,194993.881,24.255556,8.385712,6.339915,0.154551
F-2382323,-876914.4854,2150693.427, F,15.625,96.875,0.407407407,2.116950987,0,11,222866.4592,24.063829,8.019754,6.091989,0.14959
F-2383102,-881455.8527,2158823.299, F,46.875,50,19.70588235,8.556902958,0,33,121754.1282,22.340425,8.031416,6.128219,0.127741
F-2383144,-880321.4577,2155865.418, F,0,84.375,3.15625,7.984296584,0,32,142209.8913,22.93617,8.241473,5.975032,0.133703
F-2383363,-880038.2578,2151610.439, F,6.25,46.875,20.06666667,20.7230229,0,71,209735.2001,23.461538,7.99774,5.859341,0.137544
F-2476164,-815617.7296,2158635.983, F,46.875,78.125,2.941176471,6.169183376,0,25,119733.2888,30.399999,7.352867,8.618135,0.129021
F-2478312,-838811.297,2157062.039, F,9.375,87.5,1.275862069,3.326265084,0,11,133571.6378,27.795698,7.051999,8.592061,0.046153
F-2478331,-835490.4012,2157156.612, F,0,65.625,7.96875,14.18878334,0,45,127168.1823,28.222221,7.070847,9.074694,0.05967
F-2481064,-866601.7936,2167135.967, F,25,93.75,1.333333333,5.561253117,0,27,118911.1144,27.826086,7.632759,10.139115,0.053058
F-2481083,-865955.792,2165508.073, F,28.125,65.625,5.913043478,7.948201875,0,22,123914.3785,26.372341,6.768819,9.098807,0.044094
F-2483144,-879145.5453,2165265.173, F,0,50,15.65625,20.2015799,0,68,129126.3155,21.903224,7.736377,7.047632,0.083303
F-2483220,-881306.4147,2164555.051, F,0,100,0,0,0,0,110450.0874,21.483871,7.728685,6.836338,0.093878
F-2483293,-884939.1318,2163141.61, F,0,90.625,1,4.318004318,0,24,117436.2632,21.095745,7.840399,6.564643,0.107443
F-2483324,-884754.0366,2161060.947, F,0,65.625,6.75,12.96645797,0,42,121637.5731,21.559139,7.817875,6.344651,0.116857
F-2576042,-816663.8228,2172695.36, F,0,68.75,5.65625,13.86945908,0,58,100378.8344,29,7.950225,9.555342,0.138004
