ID,type,case,year,datum,utm_zone,x,y,w_up,SageHgtSD,Bare,Herb,Sage,Shrub,Rough200m,FenceDist,PowerDist
30,0,FALSE,2016,NAD83,13,380605.6396,4919386.402,1000,8.139400482,26.40530014,32.9968338,12.84790993,14.8265686,107.1118469,608.4965706,7737.194659
31,0,FALSE,2016,NAD83,13,387191.8466,4911474.751,1000,13.31340599,40.20281219,29.55366325,9.345713615,10.6744957,54.78039169,543.80869,2134.794519
32,0,FALSE,2016,NAD83,13,399507.5747,4905300.092,1000,11.29288006,45.38937759,30.08150673,8.1346035,11.29387474,157.8979034,1633.675891,511.8533171
33,0,FALSE,2016,NAD83,13,384361.4121,4921189.553,1000,24.70582771,45.6917038,28.1634922,9.788777351,9.800596237,189.1623077,231.1083615,9525.130784
34,0,FALSE,2016,NAD83,13,389401.7945,4922990.747,1000,8.239761353,38.02480316,30.55583191,10.12787247,11.33736324,160.4372559,726.9121226,10216.93163
35,0,FALSE,2016,NAD83,13,398185.771,4910009.921,1000,10.89877033,32.50656891,28.43240166,14.58729553,18.03851509,196.6491241,246.320594,2274.31283
36,0,FALSE,2016,NAD83,13,390688.8444,4925897.926,1000,8.167919159,34.76246643,29.32410049,13.11128521,15.76088905,185.0921936,603.5529728,8726.574321
37,0,FALSE,2016,NAD83,13,390210.5729,4915641.566,1000,7.430691719,41.88346863,30.02444267,9.233564377,10.67708111,20.0338192,333.9364596,2636.205566
38,0,FALSE,2016,NAD83,13,388366.1633,4926617.784,1000,10.39015388,35.27403259,28.42022705,14.24492836,16.96885109,141.1775513,10.71456177,9738.18918
39,0,FALSE,2016,NAD83,13,393511.4866,4924465.16,1000,8.118973732,43.74884796,26.84000778,10.50639725,11.83567619,204.326828,788.8916385,5451.750972
40,0,FALSE,2016,NAD83,13,396745.0207,4913029.586,1000,9.423733711,36.74426651,27.01053619,13.48386002,16.35082436,157.9305573,235.5235378,7921.499178
41,0,FALSE,2016,NAD83,13,400098.4109,4907046.95,1000,7.409245968,35.93906403,29.31564331,12.28529453,14.0722599,87.49658966,595.7474278,464.1240353
42,0,FALSE,2016,NAD83,13,382296.886,4917494.769,1000,13.6019001,42.01656723,28.40689659,10.08050346,12.29374123,328.7991638,51.10836152,139.6987073
43,0,FALSE,2016,NAD83,13,388090.6289,4905673.067,1000,6.62573719,21.66026878,38.49036789,13.52061939,15.55548477,7.583015919,273.1733666,1814.908542
44,0,FALSE,2016,NAD83,13,385734.559,4921999.596,1000,6.981860638,28.08113289,32.46952057,13.21081257,14.96746445,22.56934929,201.8826415,10897.18277
45,0,FALSE,2016,NAD83,13,381112.2944,4912733.827,1000,13.45139694,39.81703186,28.34156609,10.72020912,12.71833992,167.1231384,1067.451883,2630.229714
46,0,FALSE,2016,NAD83,13,385795.3172,4909029.687,1000,10.92334652,40.82561111,26.70342827,11.99504948,15.20362759,139.549118,214.4764622,3537.22784
47,0,FALSE,2016,NAD83,13,398066.1579,4914010.477,1000,12.84478378,40.31779099,28.97417259,10.35022449,13.29259109,335.6217651,397.8710988,11904.66692
