"lekid","x","y","man_area","per_miss","per_zero","mean_count","sd_count","min_count","max_count","mean_rugg","length_road","count_OG","mean_ppt","sd_ppt","mean_sb","sd_sb","mean_herb","sd_herb","mean_nest","sd_nest"
"E-Radio Tower Draw No. 1",-966824.823882101,2235962.31235036," E",0,68.75,12.71875,24.5333668441508,0,94,0.009077,140173.6621,0,18.010869,0.103689,10.136853,3.929769,16.775953,5.747009,0.131128,0.075499
"E-Radio Tower Draw No. 2",-966448.223105431,2237524.04882611," E",53.125,56.25,39.6,29.3763753477421,0,118,0.007676,142132.2036,0,18.065217,0.246909,11.048202,3.953867,16.952299,5.639867,0.177444,0.10588
"E-Radium Springs",-1018462.06251065,2227377.76886691," E",0,62.5,11.1875,17.5231413813553,0,47,0.007673,112423.1985,0,21.119565,0.656777,14.422589,2.61118,8.061276,4.170216,0.387337,0.121233
"E-Rawlins Draw",-940346.033721492,2210958.12674692," E",0,25,19.65625,18.6021319884611,0,75,0.006238,175727.4067,0,18.771739,0.609762,8.819735,2.6936,5.986345,2.598295,0.093263,0.055174
"E-Sage Hen No. 1",-942109.72934565,2234803.71159616," E",0,68.75,7.40625,13.611805537841,0,41,0.003848,150537.0975,0,19.222221,0.441657,6.092622,3.106144,11.967114,5.962659,0.055475,0.027358
"E-Sage Hen No. 2",-941905.337914058,2233966.75530259," E",0,62.5,2,3.52868430200632,0,15,0.003963,145360.1418,0,19.271739,0.491299,5.739137,2.917275,12.024282,6.081165,0.048461,0.025652
"E-Sage Hen No. 3",-940860.874534364,2235275.7016768," E",53.125,56.25,29.4666666666667,13.8144162105423,0,51,0.004072,141445.1019,0,19.44086,0.49649,6.458014,3.52776,11.759702,5.810614,0.059285,0.026469
"E-Sage Hen No. 4",-940926.334896949,2235746.3876932," E",59.375,87.5,4.46153846153846,14.6037403006638,0,53,0.003752,141188.1383,0,19.439559,0.496333,6.745789,3.567991,11.848123,5.794698,0.066089,0.030907
"E-Silver Creek",-1010678.70024578,2231870.48369354," E",37.5,53.125,20.6,22.3168569754605,0,86,0.008529,111854.6108,0,19.698925,0.524352,15.212721,4.368838,12.100717,6.759106,0.388298,0.1454
"E-Soap Holes",-981397.828815561,2226255.60580546," E",0,12.5,74.09375,57.0666612887521,0,234,0.001505,76315.90396,0,18.215053,0.410859,7.937635,2.991562,10.215126,3.935001,0.129526,0.042158
"E-Spring Creek",-948530.027010008,2216081.32133707," E",59.375,68.75,37.1538461538462,28.7716473686804,0,94,0.005936,208122.5414,0,18.454545,0.82447,8.522691,2.62081,7.627365,3.678657,0.099413,0.054837
"E-Warm Springs No. 1",-991880.086649777,2229099.76828863," E",40.625,40.625,38.1052631578947,22.6566025128857,3,80,0.003873,114220.3874,0,18.815217,0.388121,10.498402,3.559936,10.641289,4.263088,0.246729,0.109754
"E-Warm Springs No. 2",-990192.13997183,2230414.43399101," E",0,87.5,1.03125,3.23772495793355,0,15,0.002755,113910.835,0,18.797872,0.427257,9.728785,3.602818,11.631307,4.156908,0.181987,0.093833
"E-West Long Creek No. 1",-980802.836386807,2257764.59137192," E",0,12.5,47.625,59.6747907006073,0,242,0.010699,132814.4787,0,23.802198,1.392442,17.103784,5.105135,18.220209,5.457633,0.498709,0.260437
"E-West Long Creek No. 2",-980952.778230576,2254120.54477087," E",0,15.625,46.5,49.9664403504024,0,177,0.004435,122034.34,8,24.48913,1.21131,19.055864,3.79396,19.626098,4.999323,0.694634,0.118536
"E-Willow Creek State Section",-1030862.61389435,2224694.60500306," E",0,12.5,27.4375,29.8122485111459,0,106,0.003038,144130.933,0,23.120878,0.325986,13.973202,3.478094,9.852372,5.429479,0.400877,0.150666
"E-Wilson Gulch",-1023468.88487365,2224674.95506662," E",0,31.25,16.875,18.1885288202526,0,78,0.006199,120839.6848,0,22.505495,0.701233,15.807513,2.171447,8.110059,3.242837,0.532914,0.100859
"F-1873044",-791886.387525853,2101445.04268442," F",15.625,81.25,22.2222222222222,50.2052198736755,0,160,0.001854,158025.4493,0,34.7957,0.63176,9.66464,1.146423,13.221941,6.601708,0.157827,0.055828
"F-1873103",-791355.555106048,2099633.21266043," F",0,37.5,58.53125,59.6905916696339,0,250,0.002665,159882.6055,0,34.978721,0.668098,9.633033,1.15858,12.794861,7.110451,0.170534,0.04927
"F-1874064",-803885.810052108,2102463.69222033," F",0,96.875,0.34375,1.94454364826301,0,11,0.000322,180348.7498,0,33.074466,0.262531,9.442498,3.053013,19.920946,7.788815,0.121089,0.100015
"F-1874081",-803929.529130583,2102042.56292669," F",53.125,78.125,5.13333333333333,7.29840165150334,0,21,0.000314,179136.035,0,33.065933,0.248166,9.428563,3.121021,20.241912,7.90529,0.124457,0.100398
"F-1973224",-790075.976986035,2105830.57185378," F",0,100,0,0,0,0,0.006609,208539.8816,0,34.892471,0.663363,9.924094,1.45862,17.786878,8.545209,0.112268,0.058863
"F-1973294",-793343.194058084,2105024.81233085," F",0,96.875,0.03125,0.176776695296637,0,1,0.000315,205638.6474,0,34.288887,0.453246,9.637287,1.687462,15.230885,5.994859,0.122788,0.065977
"F-1974041",-801063.012669884,2113041.15081736," F",0,100,0,0,0,0,0.000762,109757.316,0,33,0,10.021339,2.691913,21.82711,7.341711,0.178342,0.103861
"F-1974042",-800488.852966942,2112784.64909647," F",3.125,87.5,8.38709677419355,23.3847206801861,0,84,0.000704,107072.0251,0,33,0,10.119998,2.612912,21.694803,7.027661,0.19189,0.101654
"F-1974122",-795962.107098474,2110789.29915959," F",56.25,59.375,20.9285714285714,11.3846339471188,0,42,0.000151,154384.9504,0,33.582416,0.49316,10.113846,1.911968,18.609477,5.810654,0.211813,0.083308
"F-1976241",-816152.821669251,2109498.76974198," F",0,90.625,1.65625,6.27647617902008,0,30,0.000312,128779.5404,0,31.279569,0.965708,9.554613,2.709333,18.701263,6.135214,0.253174,0.039671
"F-1976343",-819001.909506341,2105716.61753356," F",0,93.75,0.4375,1.88264570185409,0,10,0.000706,131844.2694,0,30.261363,0.935345,8.403299,2.484147,18.09592,7.226058,0,0
"F-2073062",-793290.950495338,2121420.39296322," F",0,93.75,0.40625,1.72007829904301,0,9,0.002156,157609.931,0,34.787235,0.666402,10.55233,1.917794,22.267868,5.575843,0.212501,0.075026
"F-2073091",-790488.684058623,2120032.7375273," F",56.25,62.5,10.1428571428571,5.80261403768419,0,21,0.002765,178345.0684,0,35.01099,0.502619,10.682952,1.630911,22.457929,5.166294,0.208237,0.067341
"F-2073283",-791331.527743238,2114878.40659564," F",0,31.25,35.6875,33.2773656486827,0,99,0.001653,174884.4289,0,34.336956,0.472669,10.599151,1.563392,20.205917,4.853203,0.195781,0.080342
"F-2073331",-791453.2512016,2113452.31313365," F",15.625,87.5,6.22222222222222,15.4629416380766,0,54,0.00104,194688.9604,0,34.24731,0.431449,10.506244,1.605972,19.374237,4.556534,0.187318,0.090793
"F-2074333",-800996.744438991,2113743.56868967," F",9.375,90.625,0.96551724137931,3.04117879660279,0,13,0.000841,108744.4062,0,33.042552,0.201847,10.051292,2.661856,21.853435,7.382193,0.17867,0.097535
"F-2074334",-800502.49470285,2113697.06096182," F",12.5,87.5,10.4285714285714,26.6213901345969,0,97,0.000819,107562.6129,0,33.053764,0.22555,10.071182,2.655554,21.959846,7.367319,0.189397,0.095718
"F-2078092",-837700.014090395,2124899.66071173," F",0,59.375,4.8125,7.00892288443809,0,21,0.004895,134130.1095,0,26.89011,0.312752,9.398258,2.769919,12.765775,5.809309,0.132189,0.059288
"F-2079274",-845809.715919618,2119189.76040886," F",3.125,81.25,6.09677419354839,13.0674017787513,0,44,0.004188,173194.5425,0,27.946807,1.511424,10.401264,4.736875,16.744867,7.702159,0.120052,0.081379
"F-2173203",-792367.963942673,2125777.26761937," F",43.75,96.875,1.88888888888889,8.01387685344754,0,34,0.001488,155677.0769,0,35.106384,0.44883,10.904438,1.7369,21.724113,3.983135,0.280836,0.048455
"F-2173291",-792492.472590249,2125050.06225284," F",56.25,65.625,15.6428571428571,10.5583153001803,0,33,0.001572,156121.0921,0,35.075267,0.491575,10.857926,1.636479,21.765527,4.021683,0.27083,0.053394
"F-2174252",-795033.177142333,2125269.08192013," F",0,53.125,12.28125,17.0355120074167,0,53,0.001313,162974.3225,0,34.702129,0.649546,10.79841,1.837884,22.495203,4.851733,0.277317,0.044543
"F-2177041",-828696.85108423,2135170.2269422," F",0,100,0,0,0,0,0.001063,130074.8331,0,29.053192,0.776887,8.511209,2.949052,10.158505,4.79738,0.121661,0.074821
"F-2177104",-826815.510030822,2132180.54835833," F",0,50,5.125,6.34365316547736,0,17,0.001254,161192.5077,0,29.265956,0.717198,9.110873,3.13075,12.077715,6.564219,0.143878,0.081739
"F-2177203",-831026.179843569,2129518.18803591," F",0,96.875,0.03125,0.176776695296637,0,1,0.002077,148860.9094,3,27.75,0.644028,9.187168,2.319729,11.200262,5.21935,0.19211,0.040401
"F-2177314",-833164.484484177,2126874.21702223," F",0,56.25,6.53125,9.27008499456459,0,29,0.003052,152199.2796,3,27.166666,0.372677,9.266855,2.420622,12.505069,5.501958,0.153857,0.061824
"F-2179012",-842353.157902385,2136345.80053586," F",0,100,0,0,0,0,0.003718,204702.1285,3,25.391304,0.509827,8.092731,2.621125,8.088852,4.48465,0.09351,0.055467
"F-2179013",-843092.286619397,2135908.82232199," F",0,100,0,0,0,0,0.004155,201737.7087,3,25.44086,0.49649,8.209722,2.537595,8.026702,4.439966,0.100019,0.055992
"F-2179193",-851967.367627144,2131950.19838017," F",0,84.375,2.59375,7.24617529815646,0,32,0.004639,203939.482,0,25.404254,0.641128,9.580982,3.761096,10.224318,5.99606,0.178803,0.055942
"F-2179292",-849595.039060422,2130342.42819824," F",0,100,0,0,0,0,0.005816,202559.8356,0,25.377777,0.692463,8.881202,3.809159,9.858879,5.982542,0.129501,0.069185
"F-2181061",-869979.438327636,2139526.79197566," F",0,84.375,0.90625,3.00922640364382,0,16,0.003572,264384.3694,0,25.044445,0.20608,9.353523,3.919517,8.47579,4.497267,0.101868,0.083334
"F-2181112",-863237.215014692,2136977.13467894," F",0,84.375,2.25,6.7489545187958,0,35,0.005772,246787.6307,0,25.69149,0.461878,11.052845,4.87009,11.186238,6.402208,0.147953,0.079956
"F-2181113",-863877.329469126,2136530.73926305," F",9.375,90.625,0.655172413793103,2.14269293295286,0,10,0.005628,247428.9367,0,25.6,0.489897,11.118282,4.917125,11.202938,6.396863,0.144954,0.080693
"F-2181141",-864357.258877792,2135664.65892386," F",15.625,90.625,0.666666666666667,1.9414506867883,0,7,0.006061,247136.4428,0,25.538461,0.498518,11.247668,4.898822,11.186604,6.413897,0.135644,0.078061
"F-2181143",-863975.598842301,2134414.8099218," F",12.5,81.25,2.25,7.82505472705984,0,41,0.007048,257540.0366,0,25.526882,0.520367,11.501746,4.958544,11.445094,6.545773,0.115714,0.076194
"F-2181181",-870622.633568059,2136945.55643847," F",0,84.375,4.53125,14.1739979448967,0,65,0.003248,254386.3867,0,25.075269,0.263824,10.072403,4.029833,8.822455,5.099311,0.149758,0.077686
"F-2182063",-879968.837190118,2139341.46811654," F",0,90.625,0.3125,1.17603763380643,0,6,0.003566,241850.3778,0,25.010869,0.99449,8.308732,2.911761,7.001303,3.537234,0.074274,0.041478
"F-2182163",-877198.538082234,2135937.42927522," F",0,71.875,5.09375,12.1239815002892,0,49,0.004817,250821.6008,1,25.247312,0.521699,9.365903,3.51505,7.980971,5.079629,0.096987,0.044615
"F-2182202",-878045.632223795,2135408.94565365," F",3.125,75,2.06451612903226,5.27848137170132,0,25,0.006056,236230.1797,1,25.431818,0.61783,9.437375,3.567259,8.201786,5.203259,0.095976,0.044998
"F-2182214",-876243.161608337,2134401.69422937," F",50,68.75,29.375,30.0995570288556,0,89,0.004535,256710.1816,1,25.433332,0.715696,9.877393,3.850469,8.661552,5.602313,0.106593,0.044831
"F-2182281",-877040.399311306,2133392.98511433," F",0,81.25,2.53125,7.60298911931269,0,38,0.005889,246824.6165,1,25.7,0.87496,10.103421,4.077621,9.132082,5.807416,0.101474,0.042876
"F-2183011",-881032.851524003,2140644.26308115," F",6.25,68.75,5.16666666666667,8.62667608235554,0,29,0.002915,249976.6077,0,24.75,0.920103,8.059,2.869144,6.895394,3.098989,0.071381,0.04038
"F-2183024",-882381.931854368,2139545.10557894," F",0,71.875,5.0625,10.0769218930539,0,39,0.005187,246704.316,0,25.175825,1.163486,8.272492,3.041204,7.294647,3.662322,0.059642,0.036563
"F-2183232",-882593.05541526,2135830.9745744," F",15.625,87.5,1.18518518518519,3.82337986841925,0,17,0.008172,221046.8949,0,25.891304,0.865479,8.8142,3.362297,7.925542,4.426529,0.057916,0.041936
"F-2185011",-900517.431885627,2142307.22705915," F",0,71.875,2.53125,6.60393028137717,0,35,0.011859,145781.5761,0,21.052631,0.638557,6.61262,2.821767,6.668763,2.084621,0.033193,0.02137
"F-2274063",-802464.461690967,2141504.37203025," F",0,100,0,0,0,0,0.000418,172736.3032,0,33.163043,0.397742,10.515473,1.768963,20.161787,4.768158,0.260293,0.045113
"F-2274173",-800798.968716728,2138018.15961818," F",0,100,0,0,0,0,0.000225,166565.323,0,33.521278,0.499547,10.115222,1.78265,20.595407,5.052932,0.254175,0.041651
"F-2277333",-828748.586597458,2135681.09093614," F",0,100,0,0,0,0,0.001044,128347.2515,0,29.11111,0.795046,8.35207,2.978934,10.223447,4.789824,0.111698,0.074934
"F-2279213",-847504.210771766,2140975.61935112," F",0,93.75,0.46875,1.9507546099874,0,10,0.001603,211794.6494,1,25.808509,0.41964,9.011119,2.526387,8.145293,4.485767,0.157766,0.066675
"F-2280262",-853011.849106605,2140770.71882733," F",0,75,2.34375,5.17194276220105,0,18,0.003143,246412.309,0,25.989246,0.103136,9.702821,3.226036,8.671719,5.456912,0.204255,0.056802
"F-2281293",-868618.764596558,2141312.73150436," F",0,96.875,0.25,1.4142135623731,0,8,0.004023,304454.5779,0,25.074468,0.364351,8.85291,3.995803,8.55598,4.452046,0.070562,0.067651
"F-2281314",-869591.316814445,2140360.92138509," F",0,53.125,11.25,16.547097981607,0,57,0.003641,286197.1657,0,25.054347,0.308013,9.08797,3.940675,8.516414,4.378637,0.084859,0.074663
"F-2282061",-878581.96310322,2150362.50796964," F",0,53.125,6.46875,8.96223033517021,0,25,0.003765,241676.5809,0,23.833333,0.521749,7.882203,2.589085,6.002844,1.769667,0.143713,0.023634
"F-2283321",-887665.102135119,2143262.50260803," F",46.875,68.75,13.4117647058824,13.2384800087161,0,37,0.003625,167133.9397,0,24.03409,0.411451,7.749745,2.433562,6.675398,2.275329,0.066799,0.035753
"F-2283324",-886692.557152564,2142089.78879639," F",0,100,0,0,0,0,0.003445,199340.1317,0,24.271739,0.533716,7.825075,2.583802,6.788985,2.456519,0.066852,0.038297
"F-2283344",-883439.451840035,2141687.03760552," F",18.75,100,0,0,0,0,0.002964,250093.7458,0,24.539325,0.794025,7.857485,2.841328,6.900235,2.829592,0.070796,0.040398
"F-2377014",-821227.175986178,2153090.65167676," F",0,100,0,0,0,0,0.000443,168620.4724,0,31.265956,0.621862,7.255693,1.9298,8.490716,3.268114,0.125526,0.038692
"F-2377091",-826738.052110713,2153100.61503502," F",0,96.875,0.03125,0.176776695296637,0,1,0.001382,175732.3193,0,30.311828,0.671677,7.189561,1.913251,9.224625,3.356896,0.101066,0.034827
"F-2377151",-825696.242799484,2151181.80620442," F",0,71.875,3.625,6.9965429251328,0,26,0.001298,181066.0511,0,30.903224,0.673053,6.882093,1.862359,9.474005,3.874505,0.090229,0.033684
"F-2377152",-824891.05956464,2150195.76472112," F",0,96.875,0.09375,0.530330085889911,0,3,0.001065,183621.3599,0,31.260869,0.605582,6.800678,1.904221,9.72527,4.213559,0.091558,0.036128
"F-2377163",-826958.282012609,2150490.42358623," F",12.5,93.75,0.678571428571429,2.66741061051338,0,13,0.001497,184207.149,0,30.626373,0.720932,6.709497,1.869477,9.524621,4.100098,0.081326,0.033086
"F-2382214",-874152.262530116,2153573.33754307," F",12.5,100,0,0,0,0,0.004653,157235.7421,0,24.053192,0.674253,8.621296,2.880941,6.283594,2.328851,0.153161,0.032025
"F-2382221",-872977.423230497,2154010.59050644," F",0,53.125,18.9375,26.4305999346066,0,94,0.006408,156061.4271,0,24.107526,0.768497,8.693187,2.824396,6.408075,2.527344,0.147176,0.038988
"F-2382283",-874867.157729162,2151727.59605076," F",0,65.625,6.625,10.7455917443147,0,32,0.004532,194993.881,0,24.255556,0.568841,8.385712,2.945376,6.339915,2.341788,0.154551,0.028717
"F-2382323",-876914.485427691,2150693.42726035," F",15.625,96.875,0.407407407407407,2.11695098702863,0,11,0.004114,222866.4592,0,24.063829,0.542031,8.019754,2.755276,6.091989,1.944326,0.14959,0.023351
"F-2383102",-881455.852708731,2158823.29902396," F",46.875,50,19.7058823529412,8.55690295815572,0,33,0.003334,121754.1282,0,22.340425,0.661288,8.031416,2.907663,6.128219,1.755787,0.127741,0.030527
"F-2383144",-880321.457747219,2155865.41797319," F",0,84.375,3.15625,7.9842965836374,0,32,0.003394,142209.8913,0,22.93617,0.47955,8.241473,2.695165,5.975032,1.630344,0.133703,0.032877
"F-2383363",-880038.257768268,2151610.43911915," F",6.25,46.875,20.0666666666667,20.7230229011339,0,71,0.002953,209735.2001,0,23.461538,0.498518,7.99774,2.583238,5.859341,1.618141,0.137544,0.031417
"F-2476164",-815617.729620971,2158635.98280041," F",46.875,78.125,2.94117647058824,6.16918337621859,0,25,0.000496,119733.2888,0,30.399999,0.489897,7.352867,1.561544,8.618135,3.130492,0.129021,0.027968
"F-2478312",-838811.296966256,2157062.03935103," F",9.375,87.5,1.27586206896552,3.32626508397437,0,11,0.003768,133571.6378,2,27.795698,0.711792,7.051999,2.814257,8.592061,3.301357,0.046153,0.025689
"F-2478331",-835490.401221654,2157156.61237038," F",0,65.625,7.96875,14.1887833368702,0,45,0.001378,127168.1823,0,28.222221,0.441657,7.070847,2.504055,9.074694,3.100783,0.05967,0.041366
"F-2481064",-866601.793566708,2167135.96726952," F",25,93.75,1.33333333333333,5.56125311704872,0,27,0.011974,118911.1144,0,27.826086,3.143691,7.632759,4.354454,10.139115,6.451692,0.053058,0.032699
"F-2481083",-865955.791950737,2165508.07339927," F",28.125,65.625,5.91304347826087,7.94820187485687,0,22,0.007456,123914.3785,0,26.372341,1.983892,6.768819,3.752582,9.098807,5.723269,0.044094,0.028863
"F-2483144",-879145.545258932,2165265.17284855," F",0,50,15.65625,20.2015799046798,0,68,0.00681,129126.3155,6,21.903224,0.719386,7.736377,3.190614,7.047632,4.412883,0.083303,0.04724
"F-2483220",-881306.414723657,2164555.05067555," F",0,100,0,0,0,0,0.004711,110450.0874,0,21.483871,0.499739,7.728685,3.249665,6.836338,3.530356,0.093878,0.044589
"F-2483293",-884939.131793411,2163141.61011121," F",0,90.625,1,4.31800431800648,0,24,0.002351,117436.2632,1,21.095745,0.715618,7.840399,3.378434,6.564643,2.233196,0.107443,0.039985
"F-2483324",-884754.036599777,2161060.94672013," F",0,65.625,6.75,12.9664579688543,0,42,0.002288,121637.5731,1,21.559139,0.768497,7.817875,3.306119,6.344651,1.949299,0.116857,0.035506
"F-2576042",-816663.822780553,2172695.36002984," F",0,68.75,5.65625,13.8694590796213,0,58,0.000926,100378.8344,0,29,0,7.950225,3.005636,9.555342,3.333262,0.138004,0.047969
"F-2578332",-835200.424548798,2165981.89618606," F",0,100,0,0,0,0,0.00482,79297.03421,0,29.150537,0.357597,7.164691,2.665496,9.964509,4.075517,0.04861,0.042298
"F-2583302",-886051.278770879,2173581.53664972," F",0,65.625,6.40625,12.8812426143724,0,42,0.021342,83732.17375,0,22.557895,2.947669,9.21672,4.560738,9.082622,6.163706,0.095351,0.056486
"F-2584252",-887616.70278345,2173878.06854677," F",0,62.5,4.8125,7.98158162028619,0,27,0.019331,76919.61379,0,21.730337,2.439211,8.927749,4.411944,9.161375,5.931318,0.088522,0.053151
"F-2674303",-799788.727664423,2173388.62301014," F",15.625,68.75,11.4444444444444,17.5988053207582,0,51,0.002825,186236.1931,0,30.408601,0.643186,9.256512,4.473761,15.222799,6.616476,0.135707,0.081365
"F-2675151",-803633.42984787,2177866.814445," F",0,65.625,10.03125,15.8998567147125,0,46,0.005135,176082.739,0,30.18085,0.862489,9.629503,5.494069,15.508856,6.951855,0.134185,0.09688
"F-2676021",-812218.639605918,2182202.15322225," F",0,53.125,18.34375,25.6271143895579,0,92,0.001422,149457.3964,0,29.548387,0.613751,7.952091,2.298818,10.837012,5.156233,0.103795,0.031092
"F-2683214",-881502.552149871,2183819.86290259," F",0,65.625,4.3125,8.04999499098221,0,30,0.009723,135354.8078,0,22.044445,2.620055,10.202085,3.638212,10.635838,6.931665,0.106581,0.06083
"F-2776211",-814338.104894686,2187144.38525056," F",0,87.5,0.1875,0.592289162160598,0,3,0.001715,124292.4475,0,30.032258,0.537849,8.733806,2.425098,12.139549,4.715868,0.139155,0.044036
"F-2776261",-811332.373036015,2185143.38372788," F",0,96.875,0.0625,0.353553390593274,0,2,0.00258,128763.5677,0,30.177778,0.676227,8.81159,3.437043,12.443758,6.329092,0.112628,0.038933
"F-2776322",-815884.630269244,2184163.88665199," F",0,75,16.8125,37.1556772894629,0,122,0.001788,108277.6921,0,29.456521,0.498106,8.389905,2.110093,10.5873,4.009861,0.136336,0.035343
"F-2777114",-819742.135529559,2190178.66169088," F",0,87.5,0.9375,3.51895787359398,0,19,0.0018,118028.4554,0,29.125,0.704087,9.350904,2.40718,12.786997,4.306221,0.180025,0.039987
"F-2781044",-861025.191788177,2195846.15313507," F",0,87.5,1.40625,5.27843681039096,0,22,0.005227,158354.7965,0,27.252746,1.544884,12.424345,4.579504,15.690476,7.389173,0.274513,0.066003
"F-2782072",-874071.539556571,2196479.49570102," F",0,93.75,1.03125,5.48007755419574,0,31,0.001805,125761.1216,0,21.913043,0.974145,11.151736,2.895662,13.644378,7.300452,0.289756,0.07948
"F-2782124",-866025.585650041,2194692.29993242," F",0,84.375,1.59375,6.26747556836084,0,35,0.002803,166389.0574,0,25.880434,1.810851,11.274066,2.641899,13.190809,6.197229,0.259611,0.054372
"F-2782144",-867778.877562365,2193793.18111289," F",25,59.375,21.4166666666667,25.5102991420885,0,65,0.002864,160138.7434,0,25.819149,2.057486,11.272949,2.610291,12.632513,5.838798,0.25924,0.051131
"F-2783111",-877412.267819682,2196748.34770008," F",0,68.75,4.6875,8.9997759828751,0,35,0.004522,140348.5216,0,21.098901,0.575219,11.007843,3.284071,13.212215,7.102462,0.229938,0.089118
"F-2783124",-875145.339692665,2195749.82326957," F",0,34.375,30.8125,35.7585428547749,0,136,0.002064,134514.0873,0,21.526882,0.811097,10.842423,3.056995,12.755845,7.208111,0.263386,0.090699
"F-2783254",-875747.449717799,2191235.20579414," F",0,62.5,18.5,32.8672795423675,0,112,0.007264,144776.3736,0,21.414894,1.386941,9.987203,3.731712,11.151075,7.563206,0.158893,0.1075
"F-2877183",-827337.162983227,2189776.20201829," F",62.5,90.625,4.33333333333333,9.76387901058454,0,32,0.001494,133684.7052,0,27.811111,0.39142,8.557202,2.535687,11.209591,3.777884,0.167518,0.034655
"F-2878143",-828304.268688016,2200039.92756593," F",0,75,23.78125,46.5456656621804,0,138,0.001633,156950.979,0,28.133333,0.896908,10.519595,4.438605,13.906227,6.155019,0.222752,0.083319
"F-2878164",-831259.859052697,2199314.72458282," F",0,84.375,1.65625,4.35230287578664,0,15,0.001214,174364.573,0,28.225807,0.777769,9.921955,3.914347,13.142242,5.082836,0.188093,0.073304
"F-2878240",-827366.061863991,2198111.90795943," F",46.875,100,0,0,0,0,0.001297,165531.1598,0,27.69149,0.565433,9.292654,3.373809,12.494523,6.515272,0.182385,0.080671
"F-2879313",-845977.790751474,2196368.62220434," F",3.125,50,13.8064516129032,17.2808552157944,0,54,0.005153,129985.2925,0,28.107526,1.3636,10.444574,2.576921,13.583171,6.148264,0.149787,0.103328
"F-Bishop Point",-886321.388802081,2218811.1741479," F",9.375,31.25,23.9655172413793,21.82148803133,0,66,0.006918,116171.2854,0,19.430107,0.575444,13.390305,5.063274,13.182148,3.722069,0.26846,0.151362
"F-Canyon Creek",-874398.001251501,2204729.55786322," F",0,21.875,30.125,27.6063924341049,0,132,0.003548,146455.4693,0,21.655555,0.580442,11.242488,2.409869,14.393278,6.919882,0.285078,0.099527
"F-Canyon Creek Lower",-879696.040072145,2206908.02427172," F",15.625,81.25,3.37037037037037,12.5886033567245,0,65,0.009404,150854.6792,0,20.545454,0.752406,10.565667,2.975052,11.011526,6.825777,0.136214,0.094528
"F-Canyon Creek N Fork",-866156.465379523,2208222.39445814," F",9.375,65.625,14.3448275862069,33.108345799456,0,134,0.009376,111641.1518,0,23.586956,1.064773,11.783091,3.918872,19.594152,7.413575,0.249101,0.13336
"F-Canyon Creek South",-871126.761574622,2204578.30976814," F",25,65.625,10.7083333333333,15.0115293855341,0,51,0.003046,123450.9156,0,22.48913,0.773115,12.065997,2.620191,17.279706,6.892143,0.35499,0.049773
"F-Commo",-850473.737365698,2149084.39287292," F",6.25,68.75,6.1,11.4179229948902,0,48,0.00147,217580.9459,0,25.967741,0.342401,8.341475,3.084286,6.83617,3.101888,0.089295,0.047184
"F-County Road Reservoir",-883560.473274619,2233584.60594859," F",0,43.75,15.1875,19.7491322798358,0,75,0.002018,183506.2887,0,22.2,0.653197,16.160566,3.312617,15.647093,5.032562,0.497262,0.12761
"F-E. Stock Tank",-883578.355099837,2228402.01680047," F",9.375,50,16.1724137931034,18.1168212394631,0,72,0.001324,164321.5975,0,21.483871,0.837468,16.053241,3.8875,14.503555,3.742501,0.41597,0.1966
"F-Kortes Road",-875971.795298024,2200719.954651," F",0,68.75,11.21875,20.5359391893114,0,64,0.004926,141061.7126,0,21.431579,0.555406,11.375181,2.860516,14.162257,6.652361,0.263464,0.090269
"F-Kyle 63",-852456.701293926,2131783.30538274," F",0,43.75,28.53125,30.4355314161039,0,87,0.004811,203455.3305,0,25.362636,0.65493,9.638026,3.76852,10.22916,6.003061,0.183618,0.05524
"F-Kyle 65",-857717.079624875,2129004.79209222," F",46.875,65.625,4.58823529411765,5.85297812580711,0,20,0.007314,244956.4975,0,24.652631,1.203227,9.978758,4.376225,10.417908,6.70117,0.131926,0.098554
"F-Landing Strip",-910655.807904501,2238512.87251237," F",56.25,62.5,53.3571428571429,33.0817336139009,0,95,0.006127,93750.96564,0,21.935483,0.852654,13.273774,4.912129,14.568832,4.837306,0.233847,0.131975
"F-Meers Camp",-870803.041878701,2206307.45479," F",0,43.75,19.3125,27.2283503818378,0,87,0.003401,123807.5783,0,22.444444,0.651683,12.337382,2.904316,17.562808,6.767369,0.353487,0.0489
"F-Old Carbon 31",-847518.714647702,2140288.86101665," F",53.125,78.125,13.2666666666667,16.1619777196209,0,49,0.001653,216722.8295,2,25.827957,0.404906,9.04944,2.44418,8.180709,4.486858,0.164811,0.059171
"F-Old Carbon 34",-858185.531409918,2141009.85489296," F",0,31.25,15.15625,16.0304335059005,0,51,0.006833,259065.4219,0,26,0,10.422206,4.319579,9.82394,6.265694,0.174625,0.078184
"F-Old Carbon 35 1",-853562.782676559,2137806.52433231," F",9.375,78.125,5.58620689655172,13.3751294823621,0,53,0.00543,252674.0187,0,25.945055,0.227872,10.162031,3.89348,10.445282,6.504501,0.196864,0.067297
"F-Old Carbon 35 2",-853014.89901004,2137107.80678234," F",0,37.5,31.4375,34.9533675520086,0,118,0.004926,242741.1709,1,25.899999,0.3,10.089822,3.877945,10.532425,6.462889,0.198803,0.065731
"F-Old Carbon 37",-864724.50843005,2140778.58649488," F",0,31.25,22.90625,22.8816864015886,0,84,0.003248,258693.6218,0,25.634408,0.481595,9.755544,4.687348,9.5998,5.694483,0.111382,0.092772
